symbol,company_name,exchange,sector,market_cap
AACB,Artius II Acquisition Inc. Class A Ordinary Shares,NASDAQ,,0
AACBR,Artius II Acquisition Inc. Rights,NASDAQ,,0
AACG,ATA Creativity Global American Depositary Shares,NASDAQ,Real Estate,47548147
AACI,Armada Acquisition Corp. III Class A Ordinary Share,NASDAQ,,0
AACIU,Armada Acquisition Corp. III Units,NASDAQ,Finance,0
AACIW,Armada Acquisition Corp. III Warrant,NASDAQ,,0
AACO,Abony Acquisition Corp. I Class A Ordinary Share,NASDAQ,,0
AACOW,Abony Acquisition Corp. I Warrants,NASDAQ,,0
AACPU,Apogee Acquisition Corp Units,NASDAQ,Finance,0
AAL,American Airlines Group Inc. Common Stock,NASDAQ,Consumer Discretionary,7810958468
AAME,Atlantic American Corporation Common Stock,NASDAQ,Finance,51401015
AAOI,Applied Optoelectronics Inc. Common Stock,NASDAQ,Technology,13846644746
AAON,AAON Inc. Common Stock,NASDAQ,Industrials,7521437133
AAPG,Ascentage Pharma Group International American Depository Shares,NASDAQ,Health Care,2055138667
AAPL,Apple Inc. Common Stock,NASDAQ,Technology,4.07E+12
AARD,Aardvark Therapeutics Inc. Common Stock,NASDAQ,Health Care,114970536
ABAT,American Battery Technology Company Common Stock,NASDAQ,Basic Materials,424103769
ABCL,AbCellera Biologics Inc. Common Shares,NASDAQ,Health Care,1352514792
ABEO,Abeona Therapeutics Inc. Common Stock,NASDAQ,Health Care,338451012
ABLV,Able View Global Inc. Class B Ordinary Shares,NASDAQ,Consumer Discretionary,33733317
ABLVW,Able View Global Inc. Warrant,NASDAQ,Consumer Discretionary,1066822
ABNB,Airbnb Inc. Class A Common Stock,NASDAQ,Consumer Discretionary,82555776493
ABOS,Acumen Pharmaceuticals Inc. Common Stock,NASDAQ,Health Care,179124398
ABSI,Absci Corporation Common Stock,NASDAQ,Health Care,873614545
ABTC,American Bitcoin Corp. Class A Common Stock,NASDAQ,Technology,1240725817
ABTS,Abits Group Inc Ordinary Shares,NASDAQ,Technology,3435279
ABUS,Arbutus Biopharma Corporation Common Stock,NASDAQ,Health Care,864565191
ABVC,ABVC BioPharma Inc. Common Stock,NASDAQ,Health Care,26712427
ABVE,Above Food Ingredients Inc. Common Stock,NASDAQ,Consumer Staples,36443477
ABVEW,Above Food Ingredients Inc. Warrants,NASDAQ,Consumer Staples,11769006
ABVX,Abivax SA American Depositary Shares,NASDAQ,Health Care,9274957791
ACAA,Averin Capital Acquisition Corp. Class A Ordinary Shares,NASDAQ,Finance,0
ACAAU,Averin Capital Acquisition Corp. Units,NASDAQ,Finance,0
ACAD,ACADIA Pharmaceuticals Inc. Common Stock,NASDAQ,Health Care,3799266664
ACB,Aurora Cannabis Inc. Common Shares,NASDAQ,Health Care,193946230
ACCL,Acco Group Holdings Limited Class A Ordinary Shares,NASDAQ,Consumer Discretionary,20711000
