symbol,company_name,market_cap,sector,exchange
AACB,Artius II Acquisition Inc. Class A Ordinary Shares,0,,NASDAQ
AACBR,Artius II Acquisition Inc. Rights,0,,NASDAQ
AACG,ATA Creativity Global American Depositary Shares,47548147,Real Estate,NASDAQ
AACI,Armada Acquisition Corp. III Class A Ordinary Share,0,,NASDAQ
AACIU,Armada Acquisition Corp. III Units,0,Finance,NASDAQ
AACIW,Armada Acquisition Corp. III Warrant,0,,NASDAQ
AACO,Abony Acquisition Corp. I Class A Ordinary Share,0,,NASDAQ
AACOW,Abony Acquisition Corp. I Warrants,0,,NASDAQ
AACPU,Apogee Acquisition Corp Units,0,Finance,NASDAQ
AAL,American Airlines Group Inc. Common Stock,7810958468,Consumer Discretionary,NASDAQ
AAME,Atlantic American Corporation Common Stock,51401015,Finance,NASDAQ
AAOI,Applied Optoelectronics Inc. Common Stock,13846644746,Technology,NASDAQ
AAON,AAON Inc. Common Stock,7521437133,Industrials,NASDAQ
AAPG,Ascentage Pharma Group International American Depository Shares,2055138667,Health Care,NASDAQ
AAPL,Apple Inc. Common Stock,4.07E+12,Technology,NASDAQ
AARD,Aardvark Therapeutics Inc. Common Stock,114970536,Health Care,NASDAQ
ABAT,American Battery Technology Company Common Stock,424103769,Basic Materials,NASDAQ
ABCL,AbCellera Biologics Inc. Common Shares,1352514792,Health Care,NASDAQ
ABEO,Abeona Therapeutics Inc. Common Stock,338451012,Health Care,NASDAQ
ABLV,Able View Global Inc. Class B Ordinary Shares,33733317,Consumer Discretionary,NASDAQ
ABLVW,Able View Global Inc. Warrant,1066822,Consumer Discretionary,NASDAQ
ABNB,Airbnb Inc. Class A Common Stock,82555776493,Consumer Discretionary,NASDAQ
ABOS,Acumen Pharmaceuticals Inc. Common Stock,179124398,Health Care,NASDAQ
ABSI,Absci Corporation Common Stock,873614545,Health Care,NASDAQ
ABTC,American Bitcoin Corp. Class A Common Stock,1240725817,Technology,NASDAQ
ABTS,Abits Group Inc Ordinary Shares,3435279,Technology,NASDAQ
ABUS,Arbutus Biopharma Corporation Common Stock,864565191,Health Care,NASDAQ
ABVC,ABVC BioPharma Inc. Common Stock,26712427,Health Care,NASDAQ
ABVE,Above Food Ingredients Inc. Common Stock,36443477,Consumer Staples,NASDAQ
ABVEW,Above Food Ingredients Inc. Warrants,11769006,Consumer Staples,NASDAQ
ABVX,Abivax SA American Depositary Shares,9274957791,Health Care,NASDAQ
ACAA,Averin Capital Acquisition Corp. Class A Ordinary Shares,0,Finance,NASDAQ
ACAAU,Averin Capital Acquisition Corp. Units,0,Finance,NASDAQ
ACAD,ACADIA Pharmaceuticals Inc. Common Stock,3799266664,Health Care,NASDAQ
ACB,Aurora Cannabis Inc. Common Shares,193946230,Health Care,NASDAQ
ACCL,Acco Group Holdings Limited Class A Ordinary Shares,20711000,Consumer Discretionary,NASDAQ
ACDC,ProFrac Holding Corp. Class A Common Stock,1356905648,Energy,NASDAQ
ACET,Adicet Bio Inc. Common Stock,81104798,Health Care,NASDAQ
ACFN,Acorn Energy Inc. Common Stock,48826639,Consumer Discretionary,NASDAQ
ACGCU,ACP Holdings Acquisition Corp. Units,0,Finance,NASDAQ
ACGL,Arch Capital Group Ltd. Common Stock,33364951560,Finance,NASDAQ
ACGLN,Arch Capital Group Ltd. Depositary Shares each Representing a 1/1000th Interest in a 4.550% Non-Cumulative Preferred Share Series G,6102953766,Finance,NASDAQ
ACGLO,Arch Capital Group Ltd. Depositary Shares Each Representing 1/1000th Interest in a Share of 5.45% Non-Cumulative Preferred Shares Series F,7178897746,Finance,NASDAQ
ACHC,Acadia Healthcare Company Inc. Common Stock,2546107142,Health Care,NASDAQ
ACHV,Achieve Life Sciences Inc. Common Shares,233723547,Health Care,NASDAQ
ACIC,American Coastal Insurance Corporation Common Stock,563193748,Finance,NASDAQ
ACIU,AC Immune SA Common Stock,310409398,Health Care,NASDAQ
ACIW,ACI Worldwide Inc. Common Stock,4504160759,Technology,NASDAQ
ACLS,Axcelis Technologies Inc. Common Stock,4359660844,Technology,NASDAQ
ACMR,ACM Research Inc. Class A Common Stock,3392187893,Technology,NASDAQ
ACNB,ACNB Corporation Common Stock,537760894,Finance,NASDAQ
ACNT,Ascent Industries Co. Common Stock,135919290,Industrials,NASDAQ
ACOG,Alpha Cognition Inc. Common Stock,131539729,,NASDAQ
ACON,Aclarion Inc. Common Stock,8150048,Health Care,NASDAQ
ACONW,Aclarion Inc. Warrant,83224,Health Care,NASDAQ
ACRS,Aclaris Therapeutics Inc. Common Stock,632676470,Health Care,NASDAQ
ACRV,Acrivon Therapeutics Inc. Common Stock,92878936,Health Care,NASDAQ
ACT,Enact Holdings Inc. Common Stock,5986316377,Finance,NASDAQ
ACTG,Acacia Research Corporation (Acacia Tech) Common Stock,498399921,Miscellaneous,NASDAQ
ACTU,Actuate Therapeutics Inc. Common stock,69928838,Health Care,NASDAQ
ACXP,Acurx Pharmaceuticals Inc. Common Stock,7374963,Health Care,NASDAQ
ADACU,American Drive Acquisition Company Units,0,Finance,NASDAQ
ADAG,Adagene Inc. American Depositary Shares,173508134,Health Care,NASDAQ
ADAM,Adamas Trust Inc. Common Stock,781791640,Real Estate,NASDAQ
ADAMG,Adamas Trust Inc. 9.125% Senior Notes Due 2030,0,Real Estate,NASDAQ
ADAMH,Adamas Trust Inc. 9.875% Senior Notes Due 2030,0,Real Estate,NASDAQ
ADAMI,Adamas Trust Inc. 9.125% Senior Notes Due 2029,2300718005,Real Estate,NASDAQ
ADAML,Adamas Trust Inc. 6.875% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock $0.01 par value per share,2169247147,Real Estate,NASDAQ
ADAMM,Adamas Trust Inc. 7.875% Series E Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock,2290559643,Real Estate,NASDAQ
ADAMN,Adamas Trust Inc. 8.00% Series D Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock,2120722149,Real Estate,NASDAQ
ADAMO,Adamas Trust Inc. 9.250% Senior Notes Due 2031,0,Real Estate,NASDAQ
ADAMZ,Adamas Trust Inc. 7.000% Series G Cumulative Redeemable Preferred Stock $0.01 par value per share,1690143664,Real Estate,NASDAQ
ADBE,Adobe Inc. Common Stock,1.03E+11,Technology,NASDAQ
ADEA,Adeia Inc. Common Stock,3722966507,Technology,NASDAQ
ADGM,Adagio Medical Holdings Inc Common Stock,20900042,Health Care,NASDAQ
ADI,Analog Devices Inc. Common Stock,1.94E+11,Technology,NASDAQ
ADIL,Adial Pharmaceuticals Inc Common Stock,2284752,Health Care,NASDAQ
ADMA,ADMA Biologics Inc Common Stock,2455421105,Health Care,NASDAQ
ADP,Automatic Data Processing Inc. Common Stock,85086807000,Industrials,NASDAQ
ADPT,Adaptive Biotechnologies Corporation Common Stock,2316529701,Health Care,NASDAQ
ADSE,ADS-TEC ENERGY PLC Ordinary Shares,694415291,Consumer Discretionary,NASDAQ
ADSEW,ADS-TEC ENERGY PLC Warrant,33668620,Consumer Discretionary,NASDAQ
ADSK,Autodesk Inc. Common Stock,52266895433,Technology,NASDAQ
ADTN,ADTRAN Holdings Inc. Common Stock,1480005098,Utilities,NASDAQ
ADTX,Aditxt Inc. Common Stock,126626,Health Care,NASDAQ
ADUR,Aduro Clean Technologies Inc. Common Stock,465072212,Industrials,NASDAQ
ADUS,Addus HomeCare Corporation Common Stock,1868717373,Health Care,NASDAQ
ADV,Advantage Solutions Inc. Class A Common Stock,480731937,Real Estate,NASDAQ
ADVB,Advanced Biomed Inc. Common Stock,8132635,Health Care,NASDAQ
ADXN,Addex Therapeutics Ltd American Depositary Shares,11218748,Health Care,NASDAQ
AEAQ,Activate Energy Acquisition Corp. Class A Ordinary Share,0,,NASDAQ
AEAQW,Activate Energy Acquisition Corp. Warrant,0,,NASDAQ
AEBI,Aebi Schmidt Holding AG Common Stock ,848161267,Industrials,NASDAQ
AEC,Anfield Energy Inc. Common Shares,89106382,Basic Materials,NASDAQ
AEHL,Antelope Enterprise Holdings Limited Class A Ordinary Shares,2462935,Industrials,NASDAQ
AEHR,Aehr Test Systems Common Stock,2748428405,Industrials,NASDAQ
AEI,Alset Inc. Common Stock (TX),58343745,Finance,NASDAQ
AEIS,Advanced Energy Industries Inc. Common Stock,14648429484,Technology,NASDAQ
AEMD,Aethlon Medical Inc. Common Stock,3156264,Health Care,NASDAQ
AENT,Alliance Entertainment Holding Corporation Class A Common Stock,380141980,Consumer Discretionary,NASDAQ
AENTW,Alliance Entertainment Holding Corporation Warrant,32108239,Consumer Discretionary,NASDAQ
AEP,American Electric Power Company Inc. Common Stock,73196258217,Utilities,NASDAQ
AERT,Aeries Technology Inc. Class A Ordinary Share,30878976,Consumer Discretionary,NASDAQ
AERTW,Aeries Technology Inc. Warrant,1164865,Consumer Discretionary,NASDAQ
AEVA,Aeva Technologies Inc. Common Stock,990669077,Consumer Discretionary,NASDAQ
AEYE,AudioEye Inc. Common Stock,97843523,Technology,NASDAQ
AFBI,Affinity Bancshares Inc. Common Stock (MD),136708271,Finance,NASDAQ
AFCG,Advanced Flower Capital Inc. Common Stock,68939513,Finance,NASDAQ
AFJK,Aimei Health Technology Co. Ltd Ordinary Share,0,,NASDAQ
AFJKR,Aimei Health Technology Co. Ltd Right,0,,NASDAQ
AFRI,Forafric Global PLC Ordinary Shares,267670840,Consumer Staples,NASDAQ
AFRIW,Forafric Global PLC Warrants,21252258,Consumer Staples,NASDAQ
AFRM,Affirm Holdings Inc. Class A Common Stock,22345062469,Finance,NASDAQ
AFYA,Afya Limited Class A Common Shares,1256350180,Real Estate,NASDAQ
AGAE,Allied Gaming & Entertainment Inc. Common Stock,19962049,Consumer Discretionary,NASDAQ
AGCC,Agencia Comercial Spirits Ltd Class A Ordinary Shares,683834410,Consumer Staples,NASDAQ
AGEN,Agenus Inc. Common Stock,166984987,Health Care,NASDAQ
AGH,Aureus Greenway Holdings Inc. Common Stock,100260676,Consumer Discretionary,NASDAQ
AGIO,Agios Pharmaceuticals Inc. Common Stock,1639037544,Health Care,NASDAQ
AGMB,AgomAb Therapeutics NV American Depositary Shares,596146737,Health Care,NASDAQ
AGMH,AGM Group Holdings Inc. Class A Ordinary Shares,3166183,Technology,NASDAQ
AGNC,AGNC Investment Corp. Common Stock,11808407636,Real Estate,NASDAQ
AGNCL,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 7.75% Series G Fixed-Rate Reset Cumulative Redeemable Preferred Stock,27719266750,Real Estate,NASDAQ
AGNCM,AGNC Investment Corp. Depositary Shares rep 6.875% Series D Fixed-to-Floating Cumulative Redeemable Preferred Stock,27619477390,Real Estate,NASDAQ
AGNCN,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 7.00% Series C Fixed-To-Floating Rate Cumulative Redeemable Preferred Stock,28561932459,Real Estate,NASDAQ
AGNCO,AGNC Investment Corp. Depositary Shares each representing a 1/1000th interest in a share of 6.50% Series E Fixed-to-Floating Cumulative Redeemable Preferred Stock,28218213552,Real Estate,NASDAQ
AGNCP,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 6.125% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock,27586214270,Real Estate,NASDAQ
AGNCZ,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 8.75% Series H Fixed-Rate Cumulative Redeemable Preferred Stock,28306915205,,NASDAQ
AGPU,Axe Compute Inc. Common Stock,28804188,Health Care,NASDAQ
