symbol,company_name,exchange,sector,market_cap
A,Agilent Technologies Inc. Common Stock,NYSE,Industrials,31702327921
AA,Alcoa Corporation Common Stock ,NYSE,Industrials,16482561593
AACB,Artius II Acquisition Inc. Class A Ordinary Shares,NASDAQ,NULL,0
AACBR,Artius II Acquisition Inc. Rights,NASDAQ,NULL,0
AACG,ATA Creativity Global American Depositary Shares,NASDAQ,Real Estate,47548147
AACI,Armada Acquisition Corp. III Class A Ordinary Share,NASDAQ,NULL,0
AACIU,Armada Acquisition Corp. III Units,NASDAQ,Finance,0
AACIW,Armada Acquisition Corp. III Warrant,NASDAQ,NULL,0
AACO,Abony Acquisition Corp. I Class A Ordinary Share,NASDAQ,NULL,0
AACOW,Abony Acquisition Corp. I Warrants,NASDAQ,NULL,0
AACPU,Apogee Acquisition Corp Units,NASDAQ,Finance,0
AAL,American Airlines Group Inc. Common Stock,NASDAQ,Consumer Discretionary,7810958468
AAME,Atlantic American Corporation Common Stock,NASDAQ,Finance,51401015
AAMI,Acadian Asset Management Inc. Common Stock,NYSE,Finance,2406738139
AAOI,Applied Optoelectronics Inc. Common Stock,NASDAQ,Technology,13846644746
AAON,AAON Inc. Common Stock,NASDAQ,Industrials,7521437133
AAP,Advance Auto Parts Inc.,NYSE,Consumer Discretionary,3461689955
AAPG,Ascentage Pharma Group International American Depository Shares,NASDAQ,Health Care,2055138667
AAPL,Apple Inc. Common Stock,NASDAQ,Technology,4.07E+12
AARD,Aardvark Therapeutics Inc. Common Stock,NASDAQ,Health Care,114970536
AAT,American Assets Trust Inc. Common Stock,NYSE,Real Estate,1263425463
AAUC,Allied Gold Corporation Common Shares,NYSE,NULL,3561711000
AB,AllianceBernstein Holding L.P.  Units,NYSE,Finance,3681979885
ABAT,American Battery Technology Company Common Stock,NASDAQ,Basic Materials,424103769
ABBV,AbbVie Inc. Common Stock,NYSE,Health Care,3.68E+11
ABCB,Ameris Bancorp Common Stock,NYSE,Finance,5808328137
ABCL,AbCellera Biologics Inc. Common Shares,NASDAQ,Health Care,1352514792
